alpha,beta,benchmark,baseline_rho,retrofitted_rho,delta,time_sec
0.7,0.2,wordsim353,0.5433,0.5148,-0.0285,4.4
0.7,0.3,rg65,0.7662,0.8462,0.08,4.5
0.7,0.3,simlex999,0.3705,0.3812,0.0107,4.5
0.7,0.3,wordsim353,0.5433,0.4425,-0.1008,4.5
0.7,0.4,rg65,0.7662,0.8279,0.0617,4.1
0.7,0.4,simlex999,0.3705,0.3531,-0.0174,4.1
0.7,0.4,wordsim353,0.5433,0.3873,-0.156,4.1
0.7,0.5,rg65,0.7662,0.8087,0.0425,4.1
0.7,0.5,simlex999,0.3705,0.3323,-0.0382,4.1
0.7,0.5,wordsim353,0.5433,0.3454,-0.1979,4.1
0.7,0.6,rg65,0.7662,0.79,0.0238,4.3
0.7,0.6,simlex999,0.3705,0.3153,-0.0552,4.3
0.7,0.6,wordsim353,0.5433,0.3131,-0.2302,4.3
0.7,0.7,rg65,0.7662,0.7826,0.0164,4.2
0.7,0.7,simlex999,0.3705,0.3023,-0.0682,4.2
0.7,0.7,wordsim353,0.5433,0.2881,-0.2552,4.2
0.7,0.8,rg65,0.7662,0.7661,-0.0001,4.4
0.7,0.8,simlex999,0.3705,0.2911,-0.0794,4.4
0.7,0.8,wordsim353,0.5433,0.2692,-0.2741,4.4
0.7,0.9,rg65,0.7662,0.7576,-0.0086,4.4
0.7,0.9,simlex999,0.3705,0.2825,-0.088,4.4
0.7,0.9,wordsim353,0.5433,0.2502,-0.2931,4.4
0.7,1.0,rg65,0.7662,0.7457,-0.0205,4.6
0.7,1.0,simlex999,0.3705,0.2752,-0.0953,4.6
0.7,1.0,wordsim353,0.5433,0.2345,-0.3088,4.6
0.8,0.1,rg65,0.7662,0.8587,0.0925,4.4
0.8,0.1,simlex999,0.3705,0.4588,0.0883,4.4
0.8,0.1,wordsim353,0.5433,0.5903,0.047,4.4
0.8,0.2,rg65,0.7662,0.8611,0.0949,4.5
0.8,0.2,simlex999,0.3705,0.4258,0.0553,4.5
0.8,0.2,wordsim353,0.5433,0.5333,-0.01,4.5
0.8,0.3,rg65,0.7662,0.8477,0.0815,4.7
0.8,0.3,simlex999,0.3705,0.3943,0.0238,4.7
0.8,0.3,wordsim353,0.5433,0.4692,-0.0741,4.7
0.8,0.4,rg65,0.7662,0.8303,0.0641,4.6
0.8,0.4,simlex999,0.3705,0.3662,-0.0043,4.6
0.8,0.4,wordsim353,0.5433,0.4113,-0.132,4.6
0.8,0.5,rg65,0.7662,0.8214,0.0552,4.6
0.8,0.5,simlex999,0.3705,0.3447,-0.0258,4.6
0.8,0.5,wordsim353,0.5433,0.37,-0.1733,4.6
0.8,0.6,rg65,0.7662,0.8029,0.0367,4.5
0.8,0.6,simlex999,0.3705,0.3276,-0.0429,4.5
0.8,0.6,wordsim353,0.5433,0.3366,-0.2067,4.5
0.8,0.7,rg65,0.7662,0.7902,0.024,4.5
0.8,0.7,simlex999,0.3705,0.3135,-0.057,4.5
0.8,0.7,wordsim353,0.5433,0.3106,-0.2327,4.5
0.8,0.8,rg65,0.7662,0.7826,0.0164,5.6
0.8,0.8,simlex999,0.3705,0.3023,-0.0682,5.6
0.8,0.8,wordsim353,0.5433,0.2881,-0.2552,5.6
0.8,0.9,rg65,0.7662,0.7662,0.0,5.2
0.8,0.9,simlex999,0.3705,0.2921,-0.0784,5.2
0.8,0.9,wordsim353,0.5433,0.2712,-0.2721,5.2
0.8,1.0,rg65,0.7662,0.7614,-0.0048,4.6
0.8,1.0,simlex999,0.3705,0.2845,-0.086,4.6
0.8,1.0,wordsim353,0.5433,0.2535,-0.2898,4.6
0.9,0.1,rg65,0.7662,0.8544,0.0882,4.4
0.9,0.1,simlex999,0.3705,0.4611,0.0906,4.4
0.9,0.1,wordsim353,0.5433,0.5934,0.0501,4.4
0.9,0.2,rg65,0.7662,0.8655,0.0993,4.8
0.9,0.2,simlex999,0.3705,0.4335,0.063,4.8
0.9,0.2,wordsim353,0.5433,0.5487,0.0054,4.8
0.9,0.3,rg65,0.7662,0.8493,0.0831,4.7
0.9,0.3,simlex999,0.3705,0.404,0.0335,4.7
0.9,0.3,wordsim353,0.5433,0.4898,-0.0535,4.7
0.9,0.4,rg65,0.7662,0.8409,0.0747,4.9
0.9,0.4,simlex999,0.3705,0.3779,0.0074,4.9
0.9,0.4,wordsim353,0.5433,0.4352,-0.1081,4.9
0.9,0.5,rg65,0.7662,0.8282,0.062,4.8
0.9,0.5,simlex999,0.3705,0.3561,-0.0144,4.8
0.9,0.5,wordsim353,0.5433,0.3926,-0.1507,4.8
0.9,0.6,rg65,0.7662,0.8127,0.0465,4.9
0.9,0.6,simlex999,0.3705,0.3385,-0.032,4.9
0.9,0.6,wordsim353,0.5433,0.3567,-0.1866,4.9
0.9,0.7,rg65,0.7662,0.8004,0.0342,4.8
0.9,0.7,simlex999,0.3705,0.3241,-0.0464,4.8
0.9,0.7,wordsim353,0.5433,0.3306,-0.2127,4.8
0.9,0.8,rg65,0.7662,0.7895,0.0233,4.9
0.9,0.8,simlex999,0.3705,0.3123,-0.0582,4.9
0.9,0.8,wordsim353,0.5433,0.3076,-0.2357,4.9
0.9,0.9,rg65,0.7662,0.7826,0.0164,4.8
0.9,0.9,simlex999,0.3705,0.3023,-0.0682,4.8
0.9,0.9,wordsim353,0.5433,0.2881,-0.2552,4.8
0.9,1.0,rg65,0.7662,0.7652,-0.001,5.0
0.9,1.0,simlex999,0.3705,0.2933,-0.0772,5.0
0.9,1.0,wordsim353,0.5433,0.2727,-0.2706,5.0
1.0,0.1,rg65,0.7662,0.8518,0.0856,4.8
1.0,0.1,simlex999,0.3705,0.4621,0.0916,4.8
1.0,0.1,wordsim353,0.5433,0.5964,0.0531,4.8
1.0,0.2,rg65,0.7662,0.8683,0.1021,5.2
1.0,0.2,simlex999,0.3705,0.4401,0.0696,5.2
1.0,0.2,wordsim353,0.5433,0.5587,0.0154,5.2
1.0,0.3,rg65,0.7662,0.8587,0.0925,5.7
1.0,0.3,simlex999,0.3705,0.4128,0.0423,5.7
1.0,0.3,wordsim353,0.5433,0.5067,-0.0366,5.7
1.0,0.4,rg65,0.7662,0.8477,0.0815,4.7
1.0,0.4,simlex999,0.3705,0.3879,0.0174,4.7
1.0,0.4,wordsim353,0.5433,0.457,-0.0863,4.7
1.0,0.5,rg65,0.7662,0.8303,0.0641,4.9
1.0,0.5,simlex999,0.3705,0.3662,-0.0043,4.9
1.0,0.5,wordsim353,0.5433,0.4113,-0.132,4.9
1.0,0.6,rg65,0.7662,0.8238,0.0576,4.8
1.0,0.6,simlex999,0.3705,0.3487,-0.0218,4.8
1.0,0.6,wordsim353,0.5433,0.3774,-0.1659,4.8
1.0,0.7,rg65,0.7662,0.8107,0.0445,4.9
1.0,0.7,simlex999,0.3705,0.334,-0.0365,4.9
1.0,0.7,wordsim353,0.5433,0.349,-0.1943,4.9
1.0,0.8,rg65,0.7662,0.7997,0.0335,4.8
1.0,0.8,simlex999,0.3705,0.3218,-0.0487,4.8
1.0,0.8,wordsim353,0.5433,0.3255,-0.2178,4.8
1.0,0.9,rg65,0.7662,0.7898,0.0236,5.1
1.0,0.9,simlex999,0.3705,0.311,-0.0595,5.1
1.0,0.9,wordsim353,0.5433,0.3058,-0.2375,5.1
1.0,1.0,rg65,0.7662,0.7826,0.0164,4.7
1.0,1.0,simlex999,0.3705,0.3023,-0.0682,4.7
1.0,1.0,wordsim353,0.5433,0.2881,-0.2552,4.7
